a1,a2,a3,a4,a5,a6,a7,a8,emotions
3.5314,2.557,2.4184,2.0122,2.3476,2.6,2.309,1.6873,angry
2.8969,2.7116,4.4727,3.4995,2.7247,3.5355,2.0,1.3885,angry
2.6484,5.3852,3.0671,2.2164,2.1941,4.005,1.6487,1.4106,angry
3.0921,3.5,3.5,2.0614,1.9264,3.1623,2.306,1.5731,angry
2.763,3.4726,2.6673,2.2152,2.3281,3.3477,2.1405,1.2878,angry
2.8894,9.0,2.8919,2.3783,3.8053,3.288,1.9506,1.6121,angry
2.8346,2.0,3.2678,2.4084,4.014,4.0139,1.9931,1.5,angry
3.0067,2.7116,2.8695,2.501,2.4519,4.1382,1.952,1.4,angry
2.9958,2.7526,2.6988,2.907,3.5786,5.0596,1.7545,1.4979,angry
4.1434,2.7116,2.4763,2.1045,2.3529,2.8406,2.0,2.0,angry
3.3477,1.0902,2.4203,1.9542,2.7366,4.0139,2.4212,1.8345,angry
2.4383,1.6,5.3475,2.7631,3.4688,3.75,1.8,1.25,angry
2.2112,3.8,4.0156,4.038,2.9367,3.0,2.5,1.1579,angry
2.3282,2.1476,3.7379,2.5522,2.5522,3.4785,2.3654,1.2656,angry
2.9211,2.3074,4.6874,2.705,2.9728,3.5,1.8571,1.3556,angry
2.2456,2.3026,3.8972,1.4899,1.9804,3.2988,2.141,1.2456,angry
3.414,2.4083,3.3915,3.033,3.3246,4.7539,1.9393,1.7459,angry
2.43,2.0203,3.0129,2.0848,2.0848,2.7116,2.0,1.1662,angry
2.5342,1.25,6.3431,2.3214,2.1178,2.75,2.6379,1.3333,angry
3.4851,1.2926,2.6499,1.5158,1.5329,3.2358,2.1463,1.7426,angry
2.2909,1.8922,4.9972,1.8882,2.4032,5.0111,1.7972,1.1759,angry
3.3174,4.5338,4.2287,2.3592,2.4052,2.8555,2.1324,1.6057,angry
3.0227,3.5314,3.8379,1.8353,2.7681,4.4045,2.1598,1.3907,angry
2.3776,2.1731,11.0,1.5921,2.352,5.0,2.1,1.1504,angry
2.7196,3.0641,3.8293,3.111,2.8585,3.2463,1.9501,1.1742,angry
3.1505,2.9506,6.4075,2.574,2.2533,2.9205,2.1656,1.646,angry
2.0563,2.25,6.5,2.1826,2.1826,3.2596,2.0722,1.1125,angry
2.3496,1.7029,5.0208,2.9036,3.1485,4.6667,2.0727,1.1744,angry
2.5263,2.3567,2.5873,1.8002,2.6818,3.8881,2.1218,1.3684,angry
2.8603,3.0067,2.8296,1.7066,2.1004,3.2,1.875,1.5299,angry
2.4083,2.8504,4.4962,2.0566,2.4673,3.7724,2.3446,1.2576,angry
2.3166,2.1401,3.1568,1.9892,3.8736,3.5089,1.8579,1.2573,angry
2.4211,1.9,4.0156,2.6792,3.1526,3.7583,2.1286,1.3158,angry
3.1421,1.7409,3.0267,2.0148,2.571,2.8,2.1535,1.5819,angry
2.6266,3.144,4.1408,2.2797,3.3174,4.3843,1.9899,1.2615,angry
2.9185,2.1731,4.859,2.8812,2.0614,2.9104,1.8352,1.3061,angry
2.9958,6.2769,3.4785,2.0141,3.133,2.5055,1.8732,1.503,angry
2.3684,1.7273,2.2832,1.6131,2.8751,4.0078,1.9961,1.3158,angry
2.9246,3.4041,3.2635,2.2581,3.0523,3.7583,1.9336,1.4979,angry
2.2498,2.6425,4.8493,2.7693,2.4072,5.3968,2.1127,1.159,angry
2.57,3.43,2.3999,2.3583,2.6078,4.0139,2.0,1.2806,angry
2.9907,2.8345,3.2905,3.8061,2.2286,3.4,1.715,1.528,angry
2.3678,5.2154,2.8774,2.1759,2.4065,4.0311,1.6927,1.2262,angry
3.7864,1.9709,2.9107,2.8286,3.971,4.6667,1.8571,1.9901,angry
3.414,2.4083,3.3915,3.033,3.3246,4.7539,1.9393,1.7459,angry
3.4415,1.5779,3.047,2.4559,4.0643,4.6786,1.7812,1.7202,angry
2.6077,3.1623,3.2096,2.4777,5.0237,4.714,2.1319,1.37,angry
2.1187,2.832,4.0316,1.6284,3.5765,3.6461,2.1452,1.1583,angry
2.7288,1.5556,1.9869,1.6751,5.0252,3.0,2.4444,1.5455,angry
2.2738,1.8503,2.6351,1.9718,2.2097,4.0447,1.8894,1.2683,angry
3.2912,2.377,2.2962,1.518,1.705,3.9482,1.8592,1.5429,angry
2.3845,6.0369,2.6811,2.06,2.6484,5.0111,2.0717,1.2198,angry
3.0477,4.9244,4.5385,2.129,3.0108,3.2988,2.0704,1.4305,angry
1.8557,2.628,2.5118,1.7997,2.0064,4.0078,1.9347,0.9989,angry
3.2388,2.3616,2.914,2.4084,2.3848,2.6,1.9246,1.4118,angry
2.7366,2.466,4.3328,2.5056,4.2953,4.6667,2.144,1.4063,angry
3.17,3.6818,2.6164,2.5198,4.1997,2.8071,1.7826,1.6322,angry
2.7065,1.8889,2.2746,2.7309,2.0482,2.8382,1.88,1.4118,angry
2.5495,5.7271,2.9204,1.9951,3.9603,3.2558,2.103,1.4399,angry
3.0,4.6786,3.0207,3.5166,3.4633,3.8806,1.6262,1.3556,angry
2.6505,2.325,4.316,2.0979,3.5634,4.1593,2.0,1.3601,angry
3.4544,2.4734,3.7273,2.1062,1.8836,3.7947,1.7579,1.4839,angry
2.5076,2.6355,4.0616,2.3361,2.3201,5.0111,1.8637,1.3114,angry
2.7158,2.8071,3.1942,1.7111,2.6887,3.6702,1.7295,1.3556,angry
2.5457,1.6125,6.0249,2.0959,1.4999,3.75,1.8667,1.2403,angry
2.8711,1.4753,3.0632,2.4753,1.6137,3.9115,1.7452,1.2574,angry
2.795,3.6702,2.8142,2.0049,2.3466,3.0265,2.0581,1.4598,angry
3.0738,2.3616,2.2518,1.6556,2.0894,3.7583,1.3985,1.4142,angry
2.8295,3.5355,3.039,2.5734,3.6028,2.4328,2.1735,1.4977,angry
3.0157,4.3333,3.7196,3.6666,5.4337,3.2596,2.0,1.5404,angry
2.1786,3.1623,6.5017,1.9069,3.2389,3.4928,2.2706,1.0616,angry
2.4105,3.4059,3.3088,1.6896,2.9632,4.3461,2.2255,1.2346,angry
3.2599,2.0555,2.7598,1.389,3.2625,4.0,1.7257,1.7028,angry
2.6855,3.1623,2.9542,2.3346,2.594,2.6,1.8462,1.3805,angry
3.0076,2.0,2.8284,2.9133,1.8137,3.1623,2.1489,1.5017,angry
2.8994,2.4698,3.515,2.4414,3.4189,3.2358,2.514,1.5063,angry
2.4208,3.8275,2.8045,3.2336,2.6579,2.5221,2.0581,1.413,angry
2.7513,1.9728,3.1665,1.7538,2.0839,3.6667,2.0021,1.4167,angry
3.5511,2.2361,2.3383,2.7929,2.98,2.8284,1.562,1.6125,angry
2.5155,2.7613,3.3725,1.269,1.7452,7.6485,1.9882,1.2241,angry
2.1006,3.3333,3.5725,1.765,4.7433,5.0,2.0,1.1,angry
3.5835,1.005,2.5748,2.0165,2.1834,3.0,2.891,1.7911,angry
2.6781,5.3852,3.2707,1.8917,2.0289,2.5125,2.099,1.2567,angry
2.7489,2.6165,3.6356,2.4515,2.7109,3.0,2.0612,1.3821,angry
3.3147,2.7659,3.6218,2.6415,2.2492,4.8374,1.8081,1.6667,angry
2.6317,2.2902,2.3441,2.0204,2.7513,2.6789,2.7296,1.3159,angry
3.1623,5.0,3.0669,2.8161,3.2423,2.557,1.715,1.562,angry
2.8579,2.8071,3.0451,1.8062,1.9525,5.831,2.0765,1.4267,angry
3.0458,1.7205,2.6811,2.22,3.8057,2.4083,2.3312,1.646,angry
3.1029,3.4785,2.2154,1.8734,2.7293,4.0,1.675,1.3667,angry
2.9364,4.6667,2.1242,2.5223,3.0089,2.3534,2.5887,1.5068,angry
2.6088,4.3461,6.0828,1.8409,2.1874,4.0,2.0,1.3038,angry
2.5,2.8,3.0207,3.0,2.4,4.0139,1.9948,1.2143,angry
2.8456,3.6638,3.4942,1.6998,2.2859,3.9294,1.9647,1.5449,angry
3.0218,1.5779,3.4293,1.4309,2.4539,3.8471,1.9066,1.5418,angry
2.9273,3.6056,3.3993,2.0006,2.5116,2.0396,2.1926,1.4277,angry
2.5898,4.2573,2.836,2.0764,2.4224,4.0078,1.8755,1.3519,angry
2.225,4.3724,4.1829,2.9168,2.9168,3.7583,1.8637,1.1662,angry
2.8641,4.4385,3.0451,2.6557,2.7475,2.7456,1.8695,1.3612,angry
2.9942,6.0208,3.0129,2.0138,4.6152,3.5,1.7276,1.4142,angry
2.7134,1.4803,2.508,2.0387,3.4127,2.8555,2.1719,1.321,angry
2.6719,1.9728,6.0828,1.6667,1.6553,3.6667,2.0,1.3333,angry
2.4977,3.4041,3.5,1.7021,1.8231,3.35,2.589,1.3556,angry
3.4594,2.7613,2.3441,2.3879,2.0294,2.8284,1.7903,1.6397,angry
2.8009,5.0111,2.9047,2.1406,2.5189,3.2596,2.0765,1.337,angry
3.1403,2.5795,3.0795,2.3955,4.0688,3.0104,2.4212,1.6038,angry
2.9951,2.6077,3.1769,1.8708,2.5683,2.8071,1.925,1.4593,angry
3.4,3.3333,3.1942,2.3,3.2857,3.3333,2.3,1.7,angry
2.8224,1.8974,2.8395,1.8094,3.2359,3.1623,2.2638,1.5387,angry
3.3803,1.2273,3.1455,1.9874,1.6949,3.2882,1.8389,1.6322,angry
2.9682,3.5355,3.054,2.1832,3.479,4.1971,1.6848,1.373,angry
2.128,2.0152,4.316,1.3481,2.934,14.3178,1.9481,1.0766,angry
2.4947,2.8071,5.2,4.2257,2.6726,2.5125,2.4876,1.2824,angry
3.8118,2.4254,4.4331,2.5018,1.914,2.4083,2.0778,1.8028,angry
2.6264,2.2361,2.7757,2.0752,2.7606,3.3397,1.5547,1.2423,angry
2.0664,2.125,4.0535,1.8321,2.1083,4.111,2.0783,1.1176,angry
3.389,2.01,3.0207,1.8636,2.4848,2.4083,1.9931,1.6945,angry
2.7528,4.9614,3.8139,2.5165,3.7748,3.7963,2.0888,1.3509,angry
4.4407,1.7678,2.4877,4.6735,2.6706,2.4734,1.6927,1.8868,angry
2.6321,1.838,4.1784,2.8929,2.8929,4.0311,2.2871,1.1933,angry
2.5259,3.985,2.7092,1.9475,2.4904,4.7651,1.8189,1.303,angry
2.8443,2.9104,2.914,2.2,2.3856,3.2596,1.6891,1.4191,angry
2.9958,3.5089,2.9317,2.0533,2.4033,2.9417,2.0011,1.6402,angry
2.693,3.0594,3.4169,2.1675,2.8594,2.8284,1.9209,1.3868,angry
3.155,2.7526,3.0894,2.0965,2.9063,3.6702,2.0581,1.5739,angry
2.7152,4.6667,2.8284,2.1498,3.6515,3.5,1.8585,1.4304,angry
2.9774,2.9506,3.0414,2.4705,4.009,2.7613,2.1898,1.407,angry
2.6588,4.0139,2.3943,1.8521,3.7043,4.3461,1.8423,1.4948,angry
2.1195,1.3827,6.5414,1.703,1.9797,6.261,1.8626,1.0,angry
3.1507,2.8388,3.1246,2.2163,2.8947,3.0679,1.9558,1.5961,angry
2.2857,2.0,2.75,1.6522,3.8387,3.6818,1.9918,1.1429,angry
3.4065,3.35,4.4331,2.7997,3.8478,2.5495,2.74,1.6044,angry
2.1255,2.6243,3.485,1.428,2.5206,4.714,2.0616,1.1622,angry
2.6741,1.5866,2.2446,1.8556,2.1099,7.6158,1.9674,1.2606,angry
3.0185,5.3666,2.3231,2.5114,4.0495,2.9483,1.6643,1.5023,angry
3.0723,4.6667,3.5725,2.9069,3.1947,4.25,1.6471,1.5017,angry
3.2511,2.4,3.4169,3.355,2.1147,3.25,2.0783,1.5855,angry
3.1601,1.0947,3.5139,2.4188,2.0157,2.5125,2.3881,1.4948,angry
2.6903,2.8318,2.8462,2.842,2.691,3.2596,2.0,1.4777,angry
2.9155,2.6077,2.943,3.7671,3.076,3.7583,1.9302,1.6106,angry
3.0791,2.5495,4.1151,2.3806,2.2125,2.6907,2.2898,1.4428,angry
3.434,2.8555,3.5123,2.2847,2.4719,3.721,1.7385,1.6991,angry
2.6491,4.111,3.9721,2.0308,2.3338,2.8284,2.3461,1.4277,angry
2.4734,1.8773,2.8058,1.7365,2.7456,5.3437,1.8724,1.3542,angry
2.9877,1.8409,2.914,2.1221,2.1221,3.6667,2.0082,1.4514,angry
2.4544,1.9019,3.6749,2.2532,4.3877,3.2062,1.7477,1.2282,angry
3.528,13.0384,2.2397,2.783,4.1745,2.6719,2.0585,1.8407,angry
2.9289,3.5089,2.6771,1.8508,2.6174,2.8284,1.9812,1.4979,angry
2.7281,3.0067,3.8499,2.9168,3.5908,3.8806,1.75,1.3969,angry
2.7435,2.9506,2.7938,3.8583,3.407,2.6789,2.0102,1.3381,angry
3.4612,2.4331,2.3139,1.7996,2.0852,3.2596,2.153,1.646,angry
2.5724,1.7365,3.1269,1.821,1.9458,3.153,1.7709,1.359,angry
2.5738,3.5089,3.0857,2.0071,2.9208,3.3955,1.8626,1.3612,angry
2.525,2.1618,3.1942,3.2054,4.2738,4.4385,1.7869,1.1968,angry
2.467,1.7029,8.0311,2.8437,4.1429,4.3461,2.1489,1.1744,angry
3.3056,3.3354,3.4785,2.2773,2.7433,3.43,2.0,1.4418,angry
2.7511,3.821,2.8157,2.6257,2.7323,2.6173,2.0,1.337,angry
2.7236,2.9872,3.7096,3.081,3.2527,4.3333,2.0191,1.1219,angry
3.1403,2.6306,3.2492,2.0817,2.8868,3.2882,2.301,1.6881,angry
2.8235,1.7029,3.0,2.2045,2.4495,4.0139,1.91,1.4118,angry
2.3651,2.9026,3.7875,2.5248,4.0832,6.2129,2.0,1.1217,angry
2.8698,2.1429,7.5,2.8072,2.3233,3.0067,1.8625,1.4,angry
3.1818,3.6667,3.1429,2.2091,3.0843,2.4,1.9167,1.4574,angry
2.8294,3.1901,2.5964,2.7639,4.574,7.0711,1.9209,1.5282,angry
2.4403,2.6165,4.9629,3.1119,2.7213,3.2249,2.2123,1.2201,angry
2.9172,3.8079,2.75,2.9345,3.9268,4.3461,1.7707,1.4142,angry
3.3792,4.0552,3.3491,2.3895,3.6337,6.3246,2.0616,1.734,angry
2.2715,2.9069,5.3278,1.94,2.5261,3.8348,1.8,1.1358,angry
2.8975,1.9696,2.9932,2.1966,2.2975,4.669,1.9406,1.3728,angry
1.75,2.0,6.0,1.3651,2.1418,5.5,2.3654,0.9,angry
2.5414,2.557,3.1052,1.9299,2.3249,2.7613,2.2796,1.3996,angry
2.9587,2.2361,2.774,2.1589,2.341,3.0,1.7452,1.4277,angry
2.9963,5.0111,2.9656,2.2167,3.8792,3.4,1.8824,1.5299,angry
2.7418,3.8079,3.2885,2.2094,2.6793,3.0104,1.827,1.4118,angry
2.3571,2.8,2.378,1.5428,1.8835,4.0,2.085,1.2143,angry
3.3129,1.5092,1.8885,1.6133,1.7925,2.1828,2.0,1.4356,angry
2.2834,2.2207,3.0306,2.1081,3.7223,3.8348,2.0416,1.2671,angry
2.595,2.6306,2.914,2.6142,2.6142,2.3616,2.0778,1.3706,angry
2.2314,2.1287,4.0,2.3394,2.0329,3.2596,2.2242,1.2919,angry
3.153,2.1731,3.541,2.3277,3.4861,2.9205,2.4212,1.6943,angry
2.6438,3.5,3.2885,2.09,2.09,2.4083,2.2422,1.4286,angry
2.8297,2.3026,3.5862,1.796,1.9724,3.425,2.1186,1.6228,angry
3.0828,1.3298,2.804,1.8708,4.1412,2.6077,2.0765,1.6692,angry
2.6732,1.7807,4.3653,3.0033,3.7542,3.5089,2.0662,1.3038,angry
2.6429,3.5,5.6284,2.0,1.9863,3.25,1.8462,1.359,angry
2.9984,3.2558,3.573,1.4914,1.784,3.6056,2.1911,1.5856,angry
2.7366,3.0,3.4705,2.7494,3.1154,3.0104,2.2438,1.34,angry
3.1667,3.0,3.7918,2.2225,2.9637,3.5089,1.9962,1.5833,angry
2.5031,1.3287,3.1612,2.2892,2.4973,3.5,2.0714,1.314,angry
2.9294,2.7456,2.8766,1.9938,2.3497,2.8,2.144,1.5017,angry
2.7381,4.3843,3.5178,3.3118,2.4086,3.153,2.0015,1.3706,angry
3.2157,3.1901,3.7833,2.9369,2.4141,2.4212,2.2295,1.6038,angry
2.0586,2.5714,2.5713,2.25,4.3815,4.7434,1.8667,1.1667,angry
2.6117,3.0,3.3336,1.8958,2.8437,3.0046,2.0,1.4455,angry
3.0,3.0414,2.4242,3.0728,3.3742,2.9678,1.6078,1.419,angry
3.0833,1.6971,2.6166,1.9728,2.1818,3.25,1.9246,1.5833,angry
2.6529,10.2956,3.3051,3.1112,3.4449,4.0383,1.8249,1.3031,angry
3.2295,4.3461,2.509,1.9925,6.6519,5.0111,1.9336,1.6891,angry
3.1461,2.0,4.3664,2.1028,2.4365,3.25,2.3077,1.5714,angry
3.5653,4.4045,3.0021,3.1518,5.0821,3.4059,1.9141,1.5465,angry
2.6667,1.7493,4.7502,2.7537,3.1704,2.4734,2.2123,1.2367,angry
2.9503,4.6667,2.8104,2.2749,3.4123,3.5355,1.93,1.4446,angry
3.2498,3.0185,3.694,2.4252,2.3885,2.1963,2.1098,1.4399,angry
2.6206,8.0156,4.2794,2.5,2.9706,4.0078,1.9347,1.4347,angry
2.5058,2.0191,3.9088,2.7065,2.7065,3.2358,2.0731,1.3132,angry
2.6371,2.0051,4.6904,2.1699,3.2548,3.0104,2.1608,1.4267,angry
3.2388,2.3616,3.5355,2.0995,2.4948,3.25,2.0015,1.58,angry
3.359,1.7029,2.7572,2.3718,2.1989,3.5795,1.6994,1.5154,angry
2.957,5.5902,3.4608,3.5164,3.1051,3.2596,1.6179,1.3446,angry
2.4986,1.6389,4.0311,2.3035,3.1933,4.3656,1.7222,1.3313,angry
3.0421,4.3843,3.1269,2.3361,3.4511,4.0078,1.6854,1.5966,angry
2.3984,1.8792,2.1514,2.1472,2.863,2.5495,2.6548,1.2656,angry
3.0591,2.9506,3.1942,1.8264,1.7908,2.3534,2.0156,1.419,angry
3.1739,2.6789,3.7582,3.2962,2.8594,3.0104,2.0828,1.6397,angry
3.1504,3.1901,3.485,3.3153,3.1807,3.9108,1.5702,1.4624,angry
2.4329,1.879,4.4,1.7815,2.1378,4.0,1.9167,1.2925,angry
2.5655,5.0596,3.5,3.5555,3.5017,3.5089,1.9949,1.25,angry
2.46,2.1963,3.8065,2.1999,2.9674,4.7854,2.1239,1.3355,angry
2.7475,2.9483,3.8891,1.9425,2.7201,3.4041,1.9289,1.337,angry
2.332,1.8647,3.4489,2.4036,2.6063,3.7947,2.0,1.1973,angry
2.5096,2.6762,3.8562,3.2594,3.1955,3.7003,2.0389,1.3416,angry
3.2295,4.1231,4.2317,2.7036,2.9713,3.8806,1.6298,1.5358,angry
2.9833,3.43,3.5557,2.0051,2.3233,3.6461,1.9336,1.4916,angry
3.1455,3.1623,3.4916,2.3452,2.3291,5.3333,1.7545,1.5358,angry
3.4612,2.4331,2.3139,1.7996,2.0852,3.2596,2.153,1.646,angry
3.3548,0.9209,3.33,1.6622,1.8489,4.4045,2.2268,1.5692,angry
3.6165,1.4213,2.4242,2.0058,3.0502,2.1662,2.2922,1.932,angry
3.1455,2.1731,2.8,1.9339,2.4429,2.4,2.3333,1.6891,angry
3.9913,1.4213,2.1096,2.1269,1.6865,2.557,2.0722,1.7938,angry
2.7857,4.6667,2.4886,2.1667,3.2007,3.0,2.3333,1.3571,angry
2.934,4.6043,2.8905,2.2093,3.389,3.0445,1.7967,1.4159,angry
2.5044,2.4698,4.1827,1.7246,1.7313,5.4263,1.9289,1.2804,angry
3.2151,7.0,2.8529,3.3,4.7143,3.7262,1.685,1.6429,angry
2.5977,3.0067,3.5355,2.3361,2.7758,3.5089,1.925,1.4634,angry
2.7293,1.3931,3.5355,2.118,2.3216,2.6077,2.0835,1.4304,angry
2.7866,3.5,3.5355,2.6077,3.1623,3.5089,1.8524,1.4286,angry
2.5021,2.2672,3.7346,3.2999,2.4336,3.5,1.9404,1.1917,angry
2.9145,3.2596,2.4034,1.848,1.8735,3.5,1.586,1.3128,angry
3.3685,2.75,3.2475,2.2258,2.4135,3.1623,1.6891,1.5481,angry
2.8419,3.2596,3.25,2.074,2.2733,3.6461,1.8009,1.4593,angry
2.5312,4.7539,5.9223,2.508,2.508,3.6818,2.3539,1.2639,angry
2.2361,2.4286,3.5178,1.8601,3.2552,4.6667,2.0,1.1765,angry
2.1911,2.6667,3.063,2.0258,2.3408,3.8079,2.0778,1.1267,angry
2.5084,2.0,5.7059,1.8028,2.222,5.0695,2.0116,1.5,angry
2.138,3.2311,4.5694,2.534,2.0207,2.6173,2.0,1.0577,angry
2.3143,2.3538,5.1584,2.2525,3.0918,12.0416,1.857,1.0684,angry
2.8388,2.6077,3.4342,2.7199,3.3483,3.153,2.0826,1.4593,angry
3.2151,7.0,2.8529,3.3,4.7143,3.7262,1.685,1.6429,angry
2.1585,3.1667,6.0,2.3562,1.902,2.7456,2.0727,1.1053,angry
3.7054,3.3333,2.5697,2.3588,2.3588,3.3955,1.7158,1.8028,angry
3.1379,2.2804,2.6784,2.6041,2.9779,2.6352,1.8804,1.3728,angry
2.6165,2.1372,3.4202,1.8977,2.5652,3.4785,2.28,1.3931,angry
2.5041,2.0,2.9542,3.25,4.2192,3.8079,2.0761,1.3571,angry
2.6815,3.0067,3.9088,2.6123,1.8932,3.4928,2.3695,1.2795,angry
2.9211,2.3393,3.7853,1.7734,2.0757,3.5,1.8571,1.3537,angry
2.5453,5.7271,3.5801,2.158,1.6899,2.838,1.943,1.226,angry
2.9364,1.5556,2.5713,2.2638,2.4696,2.5495,2.0783,1.5017,angry
2.719,3.0,4.2857,3.5593,4.5022,3.5355,1.9416,1.2575,angry
2.3824,1.3287,3.9088,1.8131,1.9114,2.8071,1.9962,1.2562,angry
3.1058,3.2358,2.6554,2.3728,2.1664,1.9796,2.5257,1.59,angry
4.0015,2.25,2.7153,2.8864,2.5657,3.0104,1.91,1.7778,angry
2.5724,2.3016,2.5585,2.5,3.4315,2.5495,2.0015,1.2877,angry
2.5882,1.5455,3.7678,2.0911,2.8988,4.25,1.6471,1.2941,angry
2.3758,2.0,3.6128,2.09,2.508,4.3461,2.0722,1.1891,angry
3.3614,1.5884,3.3257,2.5938,1.5922,3.8531,2.0625,1.6472,angry
2.2354,1.6521,3.881,2.1138,1.866,3.6461,1.8398,1.1625,angry
3.4059,2.9155,3.3333,1.8895,2.2419,2.4375,2.0123,1.5339,angry
2.5,1.9846,3.75,1.9192,2.6615,2.9483,1.8625,1.25,angry
2.4666,3.3855,3.9666,2.2581,2.4567,3.8243,1.8594,1.2384,angry
3.3469,2.4734,3.0414,1.8232,4.4361,3.6818,2.1804,1.7759,angry
3.0069,2.9155,2.9231,2.5114,2.4429,3.1379,1.5,1.4593,angry
2.4527,2.2672,4.1958,2.8609,3.538,2.8284,2.0616,1.3159,angry
2.5625,8.0,2.6465,3.016,3.3147,4.7434,1.9345,1.3125,angry
2.5473,5.3033,3.4349,2.0331,3.8576,4.0139,2.0778,1.2019,angry
3.1493,4.0078,3.2645,2.9976,3.5759,4.0552,2.9062,1.5706,angry
2.4962,3.6056,4.7638,2.0476,2.1648,2.9417,2.3343,1.3879,angry
2.8066,2.1231,3.465,1.904,1.9549,3.8881,2.1536,1.4791,angry
2.3878,2.5754,3.3491,1.7087,1.9429,2.7613,2.7176,1.2216,angry
2.8571,1.75,3.5355,2.1099,2.1099,3.0,2.1667,1.4286,angry
2.4601,2.1719,3.1076,1.7199,2.3885,4.0,2.2051,1.3038,angry
2.9276,3.7583,2.7181,2.2238,5.1888,3.5089,2.281,1.5314,angry
2.3672,1.5418,4.2531,2.2436,2.259,3.7832,1.8691,1.1295,angry
2.5945,3.8881,4.2962,2.9019,2.5906,2.7735,2.0248,1.3232,angry
3.0,1.675,4.5757,2.5125,2.5125,4.4721,2.0,1.3931,angry
3.153,2.1731,3.541,2.3277,3.4861,2.9205,2.4212,1.6943,angry
2.0,2.131,11.8889,1.9175,3.3857,6.8007,2.1934,1.0988,angry
3.3156,2.9155,2.5204,2.2905,2.4941,4.2012,1.8568,1.5784,angry
2.5501,3.1901,3.3489,2.2129,2.7367,3.8006,1.9787,1.3278,angry
4.9497,1.715,3.0,3.1854,2.3529,2.0,1.8111,1.9849,angry
2.3156,2.2672,3.6218,2.22,3.7399,14.0357,1.8579,1.1868,angry
2.8215,1.6179,2.5408,1.7894,2.7441,4.219,1.9459,1.4726,angry
2.8534,4.4385,3.4342,1.6376,2.1824,2.9483,1.9393,1.4979,angry
2.4018,3.0265,3.3637,1.6042,2.0624,3.5795,1.6994,1.2059,angry
3.0438,2.0203,2.6065,2.4686,3.697,3.6818,2.7176,1.4866,angry
2.8696,2.6509,2.7428,1.6847,2.1966,3.2,2.2017,1.5,angry
2.577,2.3421,3.2438,1.5952,2.2,4.2426,2.6342,1.2275,angry
2.5583,4.0078,2.9643,3.7708,4.3094,2.4083,2.3268,1.2491,angry
3.0648,2.1623,3.4342,2.3162,3.8677,3.0414,2.325,1.6038,angry
2.9235,1.4487,2.8889,1.6597,1.6514,2.1435,1.9956,1.4593,angry
1.9481,1.8906,4.49,2.2564,2.4431,4.7434,1.8679,1.1065,angry
2.8333,1.4884,3.4759,1.5135,1.89,2.1435,1.8407,1.4191,angry
