a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.5017,6.0093,3.1123,2.7523,2.3472,4.005,1.6479,1.3879,angry
2.4852,2.6171,2.6838,1.9076,3.0864,4.1231,2.2699,1.2657,angry
2.4483,2.2361,2.79,1.9925,2.0349,3.9482,2.3736,1.3244,angry
2.8892,4.3724,2.5654,1.8028,2.984,4.0,1.95,1.6096,angry
3.274,1.8333,3.25,1.924,2.8423,2.6679,2.1818,1.6364,angry
2.7247,2.7116,2.7643,2.3634,2.1445,4.1382,1.9872,1.4,angry
3.1478,3.5089,4.0311,2.4225,3.1522,5.3437,1.751,1.4979,angry
3.5952,3.8471,2.6672,2.2372,3.2884,2.4878,1.8923,1.7437,angry
3.3477,1.0902,2.0929,2.0248,3.147,4.0139,2.4212,1.8345,angry
2.5625,1.7778,3.3997,2.8071,3.4041,3.75,1.8,1.3125,angry
2.0549,2.5612,3.1942,2.1675,2.5857,3.4928,2.4711,1.1167,angry
3.2295,2.1435,5.8901,3.5093,2.753,3.3955,1.8571,1.4572,angry
2.2763,2.4166,3.1246,1.5436,2.1561,3.7724,2.141,1.2219,angry
3.153,2.6077,3.9005,3.9121,3.3937,4.6786,2.0711,1.6179,angry
2.5714,2.0,3.4759,2.0182,2.3748,3.153,1.9246,1.2877,angry
2.6009,1.2457,5.6569,2.43,2.1884,2.75,2.6379,1.3333,angry
3.0289,1.4765,2.475,1.5627,3.1254,3.9528,1.8953,1.5145,angry
1.9885,2.2638,4.6904,2.1413,2.8629,5.3333,1.6921,1.1057,angry
3.628,3.1623,4.6697,3.0715,2.8013,2.8555,2.0661,1.7266,angry
2.8402,2.7316,3.3716,1.7971,2.2346,5.1478,1.8493,1.3866,angry
2.3077,2.1372,5.0,2.0,2.0,5.0,2.1024,1.1538,angry
3.0017,3.3333,4.0,2.6538,2.6538,2.6667,2.628,1.5,angry
2.8294,3.1901,4.8022,2.6435,2.1729,3.0104,2.1608,1.4465,angry
2.114,2.25,7.0355,2.1794,2.1645,3.2596,2.0765,1.1125,angry
2.5655,1.6,5.0277,2.9036,3.1827,4.6667,2.0013,1.25,angry
2.0892,2.7528,3.1985,2.002,2.4639,4.0078,2.0623,1.0898,angry
2.8611,2.9483,3.0035,1.8224,1.8084,3.2062,1.9337,1.5965,angry
2.6612,3.0534,3.3626,1.9477,2.5809,5.5,2.1368,1.3112,angry
2.3956,1.8792,3.0403,2.5802,3.5416,2.4083,2.1656,1.2047,angry
2.807,1.7704,2.9204,1.8528,1.7438,3.0067,2.1296,1.4984,angry
3.0717,1.4487,3.6576,1.9377,2.4689,2.5495,2.2427,1.6179,angry
2.5944,2.7996,3.6934,2.265,3.8158,4.3843,2.0654,1.1295,angry
2.9078,2.3616,3.1429,2.833,2.2908,2.4,1.9185,1.4142,angry
2.9289,7.0178,3.4785,1.9573,3.0115,2.5055,1.8673,1.4267,angry
2.2144,2.6775,2.8262,1.6898,2.0223,6.2272,1.8582,1.1664,angry
2.8534,3.4041,2.7493,2.3708,2.5864,3.5089,2.0674,1.4962,angry
2.7031,5.0249,3.149,3.1842,3.1842,4.4721,1.9026,1.2974,angry
2.289,2.6425,5.9564,2.4447,2.5166,4.5607,2.3257,1.178,angry
2.7116,4.1231,2.9542,2.886,3.1691,4.0139,1.9173,1.3061,angry
3.1981,2.4693,3.358,2.4522,2.4522,3.8013,1.9483,1.5849,angry
2.6536,7.7621,3.0072,2.1759,2.3885,4.0311,1.6314,1.3027,angry
3.7864,1.9709,2.4471,2.7298,3.3606,4.6667,1.7857,1.8906,angry
3.153,2.6077,3.9005,3.9121,3.3937,4.6786,2.0711,1.6179,angry
3.351,1.5779,2.7693,2.5036,3.5147,4.3461,1.9174,1.7202,angry
2.7316,3.2249,2.96,2.481,5.0304,4.714,2.126,1.37,angry
2.1184,3.3044,4.3717,1.6188,3.6091,3.6461,2.2202,1.2527,angry
2.7176,1.8158,2.5141,1.6713,3.3426,3.6667,2.0909,1.5418,angry
2.4207,1.9285,2.4655,2.3415,2.3324,4.2426,1.8481,1.3275,angry
3.1271,3.6461,2.9782,2.1429,2.466,3.25,2.3859,1.4634,angry
2.2934,4.8749,4.7159,2.64,2.6581,7.5166,2.0664,1.0991,angry
2.9983,4.4045,3.4945,2.1531,2.8753,3.0414,2.0704,1.4305,angry
1.9533,1.9926,3.1111,1.4629,2.3193,3.7583,2.0664,1.0534,angry
2.7692,1.8571,3.1665,3.0948,3.5369,2.4,2.0017,1.31,angry
2.6904,2.6667,5.3747,2.5508,4.2594,6.261,2.2189,1.3184,angry
3.2605,3.6818,2.1068,2.5033,3.4952,2.6077,1.9956,1.6322,angry
2.9375,1.4545,2.5569,1.9632,1.9556,2.8382,1.9387,1.5013,angry
2.6124,5.7009,2.9291,2.4399,4.2052,3.2249,2.1168,1.4465,angry
2.7166,3.7832,3.4342,2.9741,3.0033,4.6786,2.0857,1.4018,angry
2.8018,2.7735,4.2946,1.8036,3.3003,3.1901,2.0877,1.43,angry
2.6522,3.2558,3.9938,1.8912,2.4268,3.4004,1.6765,1.0728,angry
3.1623,2.4734,4.5298,1.8906,1.8906,3.4785,1.8385,1.4839,angry
2.7564,2.6304,4.9443,2.4313,2.4146,5.0,1.8679,1.3764,angry
2.9235,3.2596,3.4342,1.771,2.7828,3.0067,1.741,1.5358,angry
2.7946,1.6601,6.5,2.1248,1.6929,2.8071,1.925,1.2639,angry
2.795,2.9678,3.6749,1.6316,1.7794,3.7832,2.1967,1.4598,angry
3.0244,1.4765,3.8904,1.888,2.3348,3.2249,2.0,1.4652,angry
3.0878,2.0,2.1678,1.7032,2.2163,3.75,1.4016,1.3359,angry
3.0,3.6878,3.4157,2.0623,1.8691,2.6077,2.1179,1.5339,angry
3.0923,6.5,3.7196,2.9333,5.6821,3.2596,2.0073,1.5404,angry
2.2464,3.2249,7.3993,2.009,3.055,3.6818,2.2796,1.1232,angry
3.2212,2.0761,2.4086,2.1457,2.1041,2.4331,1.8158,1.5232,angry
3.0,4.0552,3.3311,2.3937,2.647,9.2195,2.7461,1.4887,angry
3.3326,1.9379,2.534,1.8704,4.877,4.0,1.8028,1.7028,angry
2.7621,3.2596,2.9542,2.3346,2.594,2.5495,1.8462,1.3805,angry
3.0789,3.5,2.677,3.7678,1.8766,3.1623,2.1489,1.5017,angry
2.7633,3.0712,4.3191,2.4317,3.4052,3.5795,2.3426,1.3552,angry
2.4502,4.7878,2.9691,3.2894,2.968,2.5221,2.1239,1.3951,angry
2.9078,2.0069,4.4331,1.734,2.1095,3.6818,2.0843,1.4142,angry
3.7151,2.4375,2.7816,2.9142,3.1477,2.7735,1.6401,1.8021,angry
2.4919,3.1921,2.7497,1.8707,1.8853,5.6036,2.0812,1.3636,angry
2.1506,3.3333,3.4756,2.0625,4.8614,5.0,2.0,1.1,angry
3.5835,1.2562,2.6166,2.0165,2.1641,2.25,2.891,1.7911,angry
2.5864,6.0208,4.0792,1.971,2.8065,2.5125,2.099,1.2484,angry
2.6616,2.6165,3.6356,2.4211,2.6773,3.0,1.9819,1.3821,angry
3.4565,3.0,3.5778,2.7907,2.1636,4.8374,1.7951,1.635,angry
2.4455,2.6719,2.5212,1.9946,2.7162,2.3616,2.5038,1.3159,angry
2.9062,5.4406,3.4441,2.8311,3.2596,2.5795,1.7749,1.4356,angry
2.8009,3.0067,3.1803,1.87,2.38,5.8138,2.1593,1.3985,angry
2.9185,1.8439,2.5584,1.8798,3.6947,2.4331,2.3148,1.6179,angry
2.5887,3.7947,2.5,1.8685,2.3108,4.0,1.675,1.2528,angry
3.6056,2.0156,3.3333,2.2646,3.9586,2.5125,1.7032,1.6314,angry
3.8968,1.7541,2.3033,2.0981,2.5261,2.7203,1.9066,1.818,angry
2.6077,6.5192,6.0414,1.7579,2.0888,4.3333,1.8462,1.3038,angry
2.7692,2.6,2.914,3.0048,2.4038,4.1231,1.8423,1.3077,angry
3.0711,4.6786,3.0125,2.818,2.7633,2.5495,2.1593,1.4979,angry
3.3211,1.4213,2.6877,1.4317,2.2194,6.5765,1.7635,1.5952,angry
2.912,3.5355,3.3663,2.5953,2.5953,2.2361,2.0,1.456,angry
2.554,4.3724,2.836,2.1235,2.6857,4.0078,1.8755,1.3324,angry
2.4691,2.7996,6.7962,2.8602,3.2409,7.5166,1.9336,1.2346,angry
2.8721,4.4385,2.5725,2.4604,2.6389,2.7526,1.8647,1.3612,angry
2.3689,1.791,3.0727,1.9587,2.9255,3.6878,1.9174,1.2005,angry
2.2844,1.7545,6.0828,1.6477,1.659,4.9193,2.0,1.14,angry
2.5041,3.5,3.5,1.7021,1.8231,3.0185,2.8733,1.359,angry
3.5066,2.7951,2.8562,3.1475,2.2687,2.7735,1.7804,1.5232,angry
2.9958,4.6786,3.0316,2.695,2.7214,3.25,2.0783,1.432,angry
3.2358,2.1435,2.8591,2.4099,4.6356,3.0414,2.4783,1.6943,angry
2.403,2.126,3.5,2.5683,2.3633,3.2596,2.0722,1.2708,angry
3.4015,3.1623,2.9542,2.2598,3.8409,3.1623,2.3,1.7,angry
2.7921,1.6128,2.9258,1.5618,2.5873,2.8844,2.1287,1.4802,angry
3.0,1.3333,3.1429,2.4055,1.7096,3.2596,1.8423,1.4191,angry
2.8781,3.2882,3.054,2.1048,2.979,4.1971,1.6848,1.4762,angry
2.2023,1.8348,3.5801,1.7759,2.808,10.8167,2.0641,1.2661,angry
2.4947,2.8071,4.0,4.4472,2.6422,2.5,2.5,1.2824,angry
3.5057,2.5,4.8331,3.0669,1.7436,3.6818,2.1747,1.7029,angry
2.8333,3.0,4.0634,2.2098,2.7204,3.1901,1.7503,1.4191,angry
2.3133,2.2857,5.6,2.2236,2.2084,2.9104,2.3333,1.25,angry
3.4841,1.675,3.4286,2.2361,2.2361,2.4083,1.91,1.6916,angry
2.456,2.1926,3.6889,3.0902,2.8878,2.846,2.1574,1.2806,angry
2.4856,2.6588,3.0279,2.2948,2.5004,4.3932,1.7223,1.2347,angry
2.329,3.144,3.3217,1.4987,2.9749,3.5355,2.5187,1.3159,angry
2.9214,2.9104,2.9553,2.3,2.5211,3.153,1.7709,1.4191,angry
3.2222,3.1623,3.9005,2.0742,2.5969,3.0,1.9345,1.6891,angry
2.6874,3.0594,4.3875,2.7649,3.0989,2.8284,1.93,1.3868,angry
2.8426,3.171,3.655,2.6512,2.8218,3.3397,2.1759,1.4191,angry
2.7857,7.0,2.8702,2.1699,4.2255,3.5,1.8585,1.4304,angry
2.8957,2.9506,3.6356,2.4691,4.0862,2.7613,2.2796,1.407,angry
2.8346,4.0,2.5713,1.8521,3.1032,4.3461,1.7657,1.5023,angry
2.2216,1.3827,5.4191,1.7734,2.0757,7.0178,2.0,1.1108,angry
2.9564,2.5495,2.7242,2.438,2.2095,3.0414,1.6522,1.4839,angry
2.0783,1.625,2.5967,1.4888,3.3551,3.6818,1.9034,1.1538,angry
3.877,2.6874,3.2389,2.006,2.8562,2.5495,2.74,1.877,angry
2.2966,2.5612,3.0685,1.2698,1.9508,4.4721,2.1506,1.2807,angry
2.5753,1.6667,3.9385,1.5023,2.2438,4.2426,1.8012,1.1628,angry
3.194,5.3666,2.8304,2.5114,4.0495,2.9417,1.668,1.5023,angry
3.1381,7.0178,3.5832,2.8469,3.5208,4.25,1.6471,1.5674,angry
3.1538,2.5495,3.4169,3.4741,2.1898,3.153,2.0783,1.4636,angry
3.3344,1.0,5.0116,2.5265,1.9588,2.4375,2.4955,1.5921,angry
2.911,3.2158,2.6732,2.3939,2.8992,3.7583,1.8251,1.5639,angry
2.5041,2.3333,3.3997,2.6765,3.0328,2.7613,2.5366,1.4286,angry
3.265,2.8555,2.7074,2.519,2.6553,3.721,1.767,1.6512,angry
2.7521,4.111,4.0113,2.0717,2.5506,2.8284,2.3461,1.4277,angry
2.751,2.2672,2.8058,1.7545,2.7526,3.7583,2.0,1.4361,angry
3.054,2.0396,4.0792,1.8825,2.1099,2.7613,1.8197,1.4839,angry
2.4564,2.1397,3.5725,2.253,4.3873,2.5055,1.8637,1.1699,angry
3.6056,9.2195,2.4454,2.3744,3.6935,2.6667,2.125,1.8423,angry
2.9246,3.5089,2.7402,1.8508,2.5918,2.8284,2.0555,1.4979,angry
2.6882,4.0,2.6818,3.1125,5.0508,4.0078,1.8133,1.3764,angry
2.7606,2.3616,2.5681,3.7062,4.6881,3.4928,2.0,1.3391,angry
3.5089,3.0,2.357,1.9339,2.2407,3.3955,2.0051,1.6687,angry
2.6438,1.9799,2.5539,2.405,2.3814,3.153,1.9246,1.3571,angry
2.6448,3.5089,2.8532,2.0952,3.0951,3.2596,2.0,1.432,angry
2.3088,2.6719,6.0414,3.2463,2.3226,3.0104,2.0778,1.0623,angry
2.5257,1.8922,8.0311,2.3363,4.6726,4.3461,2.1475,1.1744,angry
3.0405,2.5221,3.82,1.9303,1.8124,3.6461,2.0132,1.4018,angry
2.7223,2.9306,3.6512,2.0,2.5061,2.6173,1.952,1.337,angry
3.0671,3.863,3.1342,3.081,3.3925,3.25,2.1164,1.3622,angry
3.421,3.0104,3.1974,2.07,2.7923,2.4331,2.4878,1.8439,angry
2.9066,1.7029,4.0,2.2045,2.4495,4.0139,1.91,1.4118,angry
2.4129,3.1483,3.8577,2.3877,4.5181,6.603,2.033,1.1491,angry
2.8153,2.6667,8.0,2.9069,2.8784,2.9417,1.8667,1.3125,angry
3.1818,3.6667,4.9839,2.2594,2.5256,2.6,1.7692,1.4545,angry
2.9807,3.1901,3.1734,2.7639,4.0266,4.3843,2.0752,1.5376,angry
3.062,2.7951,3.0361,3.3532,3.9239,2.5125,2.225,1.456,angry
2.9235,4.1231,3.5259,3.1903,3.6933,3.0104,1.9173,1.3061,angry
2.9739,3.1901,3.2635,2.3075,3.509,7.0711,1.9912,1.5282,angry
2.782,3.1732,3.9721,3.0866,3.2011,2.9155,2.1714,1.463,angry
1.7902,1.7202,6.0,1.4252,2.2361,5.5,2.3636,0.9474,angry
2.6942,3.2596,2.8719,1.9299,2.5735,2.9205,2.0086,1.389,angry
2.838,2.0276,2.6734,2.8317,2.2898,3.9115,1.8078,1.3381,angry
3.1381,4.4385,3.021,1.5595,2.1476,3.2,1.9385,1.5674,angry
2.6448,4.4385,3.1741,2.6511,2.5997,3.0,2.1683,1.2844,angry
2.4224,2.8071,2.5713,1.5428,1.9317,3.7947,2.0,1.2112,angry
2.8873,1.675,2.6721,1.8116,1.9858,3.4785,1.7297,1.2935,angry
2.3191,1.8319,3.3641,2.0693,3.2671,4.1231,2.1714,1.2724,angry
2.8539,1.7029,3.4342,2.0342,2.6757,2.7613,2.2706,1.4971,angry
2.2322,2.1287,3.6425,2.3162,2.0127,3.2596,2.2255,1.2919,angry
3.0563,2.5795,3.3491,1.92,3.7911,2.4083,2.4212,1.6881,angry
2.8607,3.5,3.4342,2.1731,2.1731,2.3534,2.25,1.4286,angry
3.0555,2.4546,2.9302,1.7433,1.8902,4.3661,2.1186,1.6296,angry
3.1655,1.7029,3.1269,1.5528,3.0364,2.8284,1.9849,1.7518,angry
2.5278,2.1287,3.8695,2.4224,3.5251,2.8071,2.1374,1.1759,angry
3.0688,2.557,3.6598,2.557,2.1582,4.4272,1.7871,1.3827,angry
3.0,3.3242,3.3285,1.5544,2.0551,3.6056,2.1911,1.6381,angry
2.9443,5.6036,3.0823,1.9546,2.0069,3.8833,1.6988,1.4509,angry
3.0009,3.5,3.1014,2.8437,2.9,3.0,2.3348,1.4304,angry
2.7152,2.7456,2.9204,2.3361,4.6722,3.3955,2.0714,1.5,angry
2.5008,1.3333,3.2,1.9631,2.4985,3.3955,2.1429,1.3764,angry
2.6391,2.557,3.1508,1.9972,2.2819,2.7613,2.2818,1.3805,angry
2.7653,4.1231,3.4169,2.638,2.1983,3.1623,2.0765,1.4593,angry
3.2033,3.9115,3.5178,3.4742,2.2649,2.2591,2.2436,1.635,angry
2.2971,1.6916,2.7264,1.9339,3.333,7.0,2.0,1.2353,angry
2.6631,2.9637,4.2753,1.9051,3.1175,3.7262,1.8977,1.5018,angry
3.1678,1.6971,2.7493,2.4593,2.7195,3.25,1.8478,1.6667,angry
2.5643,10.2956,4.0233,3.0866,3.0866,4.0383,1.8249,1.3264,angry
3.119,4.5,4.1832,3.415,4.098,4.0311,2.3599,1.4487,angry
3.3015,4.3461,2.509,2.0625,6.8857,3.5089,2.0711,1.6891,angry
3.0664,2.1476,4.0611,1.8169,1.6856,3.5,2.2857,1.4649,angry
3.0545,3.283,2.5103,2.5778,4.7532,3.4059,1.9141,1.5465,angry
2.4006,1.8601,4.3634,2.64,3.5328,2.5495,2.2123,1.163,angry
3.1679,5.831,2.5964,2.2749,3.8324,3.5089,2.0152,1.6179,angry
2.7295,5.0,3.694,3.1085,2.7449,2.2361,2.0722,1.3038,angry
2.467,4.2573,3.6222,2.1429,2.9706,5.3333,1.9385,1.3506,angry
2.3736,2.0191,4.2034,2.7421,2.7421,3.2358,2.0731,1.3132,angry
2.9235,1.8626,4.5128,2.7038,3.3798,2.01,2.589,1.4593,angry
2.8508,2.3074,3.5208,1.7734,1.917,4.3333,2.0015,1.3537,angry
3.5584,1.7379,2.856,1.7447,1.9993,3.3354,2.2361,1.7744,angry
3.0835,4.9396,3.2508,2.5783,2.6174,2.3616,1.7518,1.3611,angry
2.9645,4.3853,2.2609,2.054,3.7028,2.838,2.0676,1.6745,angry
2.4742,1.7202,4.5277,2.3255,3.2238,4.5,1.7231,1.2632,angry
2.8508,4.6786,3.6598,2.3365,3.4517,3.75,1.9345,1.4962,angry
2.5659,1.7545,2.8,2.118,2.5514,2.5495,2.6548,1.4267,angry
2.4691,2.7996,3.57,1.5737,1.9143,3.4041,2.0,1.2346,angry
3.1804,3.4928,3.2885,3.2962,3.1977,3.2596,1.9235,1.6322,angry
2.9411,2.6261,3.7332,3.4293,3.2901,3.9108,1.5616,1.3601,angry
2.4543,1.8626,4.1693,1.527,2.1378,4.0,2.0017,1.3805,angry
2.6034,5.0,3.0316,3.581,4.0926,3.5089,1.9237,1.335,angry
2.578,2.4877,4.1966,2.0158,2.5995,3.3838,2.2623,1.4451,angry
2.4332,1.5232,4.6405,1.5742,2.0596,4.4385,2.0063,1.1803,angry
2.4648,2.1476,3.3625,2.4033,2.6704,3.7947,2.0017,1.1973,angry
2.3208,2.2654,3.4473,2.1526,2.6428,2.7659,2.3009,1.3243,angry
3.3825,4.3461,4.8307,2.8297,2.802,3.8806,1.6921,1.5358,angry
2.788,3.3838,3.9081,2.0122,2.1552,3.7832,1.9209,1.4018,angry
3.2249,3.1623,3.4046,2.3482,2.3321,3.75,1.9379,1.5358,angry
3.5089,3.0,2.357,1.9339,2.2407,3.3955,2.0051,1.6687,angry
3.0067,1.0,3.6369,1.5712,2.0162,4.4045,2.2817,1.5284,angry
3.6755,1.2649,2.8936,2.009,2.4201,2.2091,2.3695,1.8862,angry
3.6375,1.3644,2.1667,1.9394,1.805,3.153,2.0,1.6389,angry
2.7786,4.6786,2.3256,3.5208,3.5742,3.0,2.3333,1.3537,angry
3.0484,4.6043,3.2546,2.3038,4.0,3.7652,1.8758,1.4826,angry
2.7231,3.2344,3.6218,2.0411,2.6008,3.1048,1.9844,1.368,angry
3.0,15.0,2.6516,3.2388,5.5049,3.8053,1.6819,1.5333,angry
2.3716,2.808,3.92,2.3033,2.8278,3.5532,1.9826,1.0169,angry
2.4621,3.0067,3.2204,2.1498,2.5897,3.5089,1.9949,1.3969,angry
3.3311,1.1982,2.7693,1.7949,2.489,2.6077,2.1598,1.5866,angry
2.9336,3.6461,3.8891,2.9279,2.8193,3.1901,2.1342,1.4695,angry
2.3114,2.6355,4.6667,4.6382,2.1157,3.3955,1.8626,1.1868,angry
3.352,1.838,2.3422,2.0025,1.8987,2.8674,1.7744,1.562,angry
2.6315,3.5355,2.0851,1.912,2.8246,3.2596,1.779,1.2806,angry
3.243,3.0104,3.7143,2.074,2.4984,3.4041,1.9289,1.5866,angry
2.8388,4.1231,5.437,3.135,2.28,3.6818,2.2634,1.3805,angry
2.4118,2.4286,3.6749,2.3393,2.8072,6.7082,1.9333,1.2353,angry
2.6334,2.5495,2.8484,1.817,3.0341,3.7947,1.9239,1.31,angry
2.7382,1.877,5.1745,2.5535,2.3745,7.6158,1.8355,1.5983,angry
2.2531,3.2311,5.0255,2.7744,2.0519,4.111,1.8732,1.0577,angry
2.042,2.6762,8.0552,1.9299,2.8904,5.5227,2.2028,1.0604,angry
2.9155,3.2596,3.5355,2.6671,2.9493,2.5495,2.0826,1.5358,angry
3.0,15.0,2.6516,3.2388,5.5049,3.8053,1.6819,1.5333,angry
2.4413,3.5355,2.7072,1.8263,3.6055,4.0552,1.9347,1.2349,angry
3.687,3.35,3.1741,2.3379,2.0644,4.111,1.7692,1.7911,angry
3.2807,2.2023,3.9385,2.343,2.6793,3.3512,1.5984,1.4142,angry
2.7883,2.1922,3.1018,1.9789,2.6458,3.5355,2.2996,1.4203,angry
2.7735,1.8571,4.0276,2.5,3.0776,3.7947,2.0833,1.3868,angry
2.4455,3.2062,4.4096,2.6967,2.4297,2.6789,2.4595,1.1868,angry
3.0,2.3333,3.6356,1.8527,2.3607,4.3333,2.0015,1.3571,angry
2.5983,3.5719,3.3485,1.9789,2.014,4.8325,1.8413,1.3646,angry
3.239,1.6125,3.1269,1.9404,2.6899,3.3955,1.9339,1.6227,angry
2.8941,2.808,3.6356,2.7484,4.3456,3.5355,1.9416,1.3435,angry
2.5031,1.2308,4.0203,1.8131,2.0596,2.6077,2.1489,1.2516,angry
3.0108,3.43,2.8293,2.455,2.2414,2.0276,2.5,1.5,angry
3.4879,2.0069,3.1269,2.7356,2.2797,3.4041,1.9962,1.663,angry
2.7703,1.8385,2.914,3.2542,3.2542,3.1623,1.9189,1.3846,angry
2.5889,1.5455,4.0,2.5221,2.9969,4.2573,1.7626,1.3529,angry
2.3537,2.4042,3.1741,2.1699,2.5783,4.3333,2.0826,1.1192,angry
3.554,1.514,3.4307,2.1678,1.7179,2.9155,2.1612,1.7223,angry
3.8976,2.0,4.0616,1.5039,2.4056,3.178,2.0123,1.715,angry
2.5655,1.7778,3.6356,2.3482,3.0968,3.0067,1.9302,1.2516,angry
3.2061,4.4385,3.9156,2.5028,3.1379,2.9104,2.4224,1.5691,angry
2.3431,3.3855,3.4677,2.2079,2.1928,3.5355,1.8507,1.2288,angry
3.0902,2.6789,3.7346,1.8521,3.1751,3.35,2.3964,1.6322,angry
2.5464,2.1979,4.8764,2.4433,5.7249,2.9833,2.309,1.2732,angry
3.0136,3.3955,3.1741,2.6815,3.0375,3.8806,1.625,1.359,angry
2.1925,2.4083,3.8891,2.4099,3.1791,2.8284,2.1319,1.2972,angry
2.5021,5.3437,2.4125,2.9069,3.5786,4.111,2.1593,1.2491,angry
2.2361,3.334,3.3685,2.0211,5.7253,4.0,2.0833,1.1176,angry
3.1311,4.0311,3.2906,2.9976,3.9543,4.0552,2.8248,1.5616,angry
2.5609,1.7815,4.5207,1.9043,2.9877,3.4928,2.3816,1.4158,angry
2.7275,2.8636,4.5974,3.0347,2.0093,3.0414,1.8977,1.1894,angry
2.5844,2.4328,4.306,1.693,1.6995,4.0139,2.4969,1.2932,angry
2.8071,1.8605,3.1269,2.0618,2.0514,3.0104,2.4098,1.4016,angry
2.5756,1.1171,3.9636,1.3178,1.9767,6.229,2.1598,1.3151,angry
3.1357,3.5089,3.0261,1.9396,7.326,3.5089,2.2844,1.6402,angry
2.3672,1.4191,4.5356,2.7631,2.3321,3.6461,1.8814,1.1295,angry
2.6426,1.8084,3.0669,2.5125,2.8714,5.0,2.0,1.276,angry
3.0563,2.5795,3.3491,1.92,3.7911,2.4083,2.4212,1.6881,angry
2.0383,2.0263,7.1756,1.8997,2.7388,6.8007,2.1934,1.1555,angry
3.2883,3.8013,3.1016,2.7707,2.4955,3.4889,1.957,1.6066,angry
3.8333,3.0,4.1231,3.7833,2.3928,2.5298,1.7545,1.8333,angry
2.5614,3.4726,2.53,1.8562,3.0996,3.9115,1.9029,1.2057,angry
3.9031,1.4796,2.6712,3.1667,3.0833,2.5495,1.8631,1.6667,angry
2.1798,2.4328,3.9603,2.2453,3.3169,14.0357,1.8538,1.1173,angry
2.7461,1.8081,5.4022,1.8127,2.0518,2.5495,1.806,1.2127,angry
2.9085,1.6494,2.5408,1.7004,3.4334,3.2358,2.0389,1.4649,angry
2.9246,4.4385,3.4342,1.5951,2.1617,2.9483,1.9393,1.4979,angry
2.4267,3.8243,3.7273,2.3718,3.0235,3.5795,1.6994,1.1929,angry
2.4838,2.6874,2.4457,1.9387,2.6876,2.7613,2.6271,1.3038,angry
2.877,3.9108,2.5389,1.5508,2.3826,3.3397,2.0686,1.6172,angry
2.9289,3.4041,2.8766,2.1413,2.3297,2.8,1.9339,1.432,angry
2.5655,4.0,2.8891,3.6336,3.1947,2.4083,2.2422,1.2516,angry
3.421,2.0069,3.3034,2.3306,3.8918,3.0414,2.3148,1.7518,angry
3.1765,1.2,2.6166,1.992,2.3763,2.7526,1.8579,1.5921,angry
