a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.27146,7.72828,3.55024,1.77556,2.06282,3.41335,1.27209,1.73981,angry
1.93653,2.7281,5.53977,1.73688,2.04883,3.112,1.39015,1.49226,angry
2.22794,4.68937,3.3003,1.98039,2.21887,2.24701,1.55774,1.64888,angry
2.2946,3.70712,3.74408,1.61625,1.55474,2.45049,1.53125,1.79395,angry
2.4211,2.42043,2.74241,1.60141,1.33134,2.35756,1.44811,1.89427,angry
2.68998,3.91547,2.909,1.75584,1.83947,2.8531,1.39955,2.03386,angry
2.42021,4.69804,5.02067,1.88642,1.83937,2.64954,1.49979,1.78136,angry
2.48852,1.77023,3.69778,1.96173,1.99872,2.06998,1.66152,1.8863,angry
2.10295,2.75843,3.5954,1.77947,1.90202,2.63458,1.43486,1.59681,angry
2.01403,2.38548,3.43209,1.66511,1.89025,3.30351,1.39614,1.57395,angry
2.08673,1.28691,3.21898,1.62822,1.51138,1.97051,1.85481,1.56666,angry
1.98194,2.31795,3.39056,1.4683,1.5529,2.93125,1.4773,1.51169,angry
2.44143,5.13586,3.03297,1.74655,1.52379,2.26782,1.53327,1.83259,angry
2.13039,7.05561,4.06528,1.54721,1.73864,3.05156,1.331,1.63596,angry
2.20195,7.57155,3.084,1.76601,2.07344,2.39624,1.46084,1.66483,angry
2.47008,3.13717,2.79536,2.08259,1.26372,2.20356,1.51005,1.83352,angry
2.65663,4.25741,4.14873,1.77378,1.90857,2.5647,1.55604,2.02761,angry
2.09228,1.22319,5.33173,1.84361,1.38436,1.34179,2.26596,1.57925,angry
1.97215,2.70087,4.6166,1.59546,1.77902,2.56216,1.4916,1.56536,angry
2.0929,2.27572,4.24683,2.09467,2.17219,1.71903,1.82862,1.53942,angry
2.04789,2.71543,4.61928,1.64911,1.93208,3.46528,1.37221,1.61831,angry
2.18339,1.4627,4.15992,1.58321,1.19253,1.74115,1.85022,1.67468,angry
2.52739,2.54411,4.45227,1.75396,1.60881,2.25985,1.53214,1.94577,angry
2.2955,1.80701,3.27269,1.60473,1.43975,1.77902,1.83553,1.77203,angry
2.18343,5.23596,3.24153,1.75413,1.92838,2.45587,1.43075,1.67116,angry
2.14478,2.94151,8.70741,1.57153,1.35778,1.87764,1.81007,1.65714,angry
2.21679,5.65012,4.14398,1.66436,1.95941,3.14092,1.32144,1.69003,angry
1.99908,2.322,4.94516,1.77082,1.90299,2.57482,1.56631,1.53702,angry
2.30742,1.66486,3.57246,1.64228,1.40247,1.45526,2.10043,1.74832,angry
2.42304,3.50402,3.78971,1.92511,1.31777,2.1024,1.54289,1.76775,angry
2.35765,2.9736,4.11486,1.86619,2.21889,2.01221,1.61795,1.72495,angry
2.29725,2.79598,3.29273,1.72139,1.72339,2.78332,1.47262,1.68554,angry
2.41984,4.02714,3.90079,1.54934,2.13124,3.80974,1.25858,1.94628,angry
2.37949,2.43863,4.21004,1.79492,2.13142,1.97413,1.63843,1.79423,angry
2.19877,2.00622,5.36181,1.62437,2.0499,1.89511,1.74284,1.72189,angry
2.02378,2.23599,4.5972,1.57865,1.60666,1.89787,1.7403,1.503,angry
2.18217,1.27955,3.00198,1.80331,1.24294,2.22189,1.59854,1.61775,angry
2.24386,4.35294,3.22912,1.57668,1.46972,2.12484,1.61532,1.67626,angry
2.21979,1.18222,5.66115,1.91699,1.32128,1.64028,1.91509,1.64435,angry
2.25281,2.56136,2.59084,1.9246,2.43993,2.04111,1.58472,1.64661,angry
2.54263,4.8365,3.3754,1.58755,1.70681,3.5032,1.36582,1.9798,angry
2.33592,4.13022,3.2141,1.58145,1.8603,2.61436,1.45232,1.82134,angry
2.4148,7.07687,4.22384,1.8733,2.21135,2.75808,1.39098,1.78249,angry
2.12929,2.2128,5.85783,1.73781,1.68218,1.01723,2.59693,1.61968,angry
2.09488,2.7238,3.09999,1.59009,2.29923,2.71818,1.44173,1.63867,angry
2.26003,2.75635,3.98581,1.68591,2.64723,3.1237,1.32514,1.77473,angry
2.36379,2.31714,2.96547,1.73337,1.33338,1.64338,1.77998,1.82614,angry
2.51447,3.12631,2.80167,1.68242,1.33577,2.51959,1.40479,1.95865,angry
2.40079,5.37489,4.33666,1.71647,1.73245,2.4066,1.6094,1.84165,angry
2.08714,4.06234,3.62683,1.72446,2.05108,2.67353,1.48384,1.57716,angry
2.38138,2.45075,2.55109,1.60155,1.78856,2.63232,1.49181,1.81081,angry
2.16234,4.20857,3.1598,1.81864,1.75131,1.80611,1.70406,1.60322,angry
2.011,2.8695,3.87193,1.78895,1.79991,2.26727,1.5556,1.51994,angry
2.53937,3.52954,3.50935,1.63755,1.57891,2.20981,1.60815,1.90775,angry
2.12683,2.95061,4.97936,1.72248,1.95261,2.56823,1.50524,1.61751,angry
2.15893,3.69828,3.64319,1.8558,1.56603,1.6784,1.75054,1.63964,angry
2.29783,3.20215,3.84465,1.54452,1.61265,2.68474,1.47203,1.77816,angry
2.35866,2.94627,2.55736,2.00089,2.56353,2.08587,1.57035,1.78033,angry
2.03684,3.35571,3.48394,1.86647,1.83495,2.75262,1.39604,1.49806,angry
1.97316,4.35473,3.38806,1.58961,1.95925,4.52216,1.19035,1.53246,angry
2.5497,1.39074,2.87642,1.63815,1.64363,2.11995,1.777,1.96639,angry
2.03579,7.27771,4.70691,2.0278,2.10242,2.08175,1.57161,1.47817,angry
2.24141,2.90439,3.8408,1.70135,2.57744,2.90653,1.36845,1.75325,angry
2.24452,3.68166,3.45498,1.99327,1.82129,1.87376,1.71481,1.65756,angry
2.43031,5.69055,3.5715,1.61554,1.79366,2.94732,1.35758,1.86669,angry
1.97535,1.37529,3.97579,2.15845,1.18522,1.67087,1.75748,1.4218,angry
2.03424,2.29504,3.57407,1.73163,1.5077,1.40503,2.05419,1.55477,angry
1.96273,2.44989,10.26702,1.76007,1.94106,2.36242,1.61181,1.46747,angry
2.25347,4.35675,6.8376,1.95223,1.87177,1.98777,1.62735,1.65259,angry
2.3398,4.35423,3.30474,1.74344,1.43875,2.24557,1.60649,1.73819,angry
2.65225,1.66272,3.09793,1.7354,1.73911,1.8707,1.79288,2.00159,angry
2.17279,4.84608,3.60162,1.85758,1.82355,2.16204,1.53221,1.62262,angry
2.3204,3.11482,3.67033,1.87671,1.99936,1.93585,1.64835,1.70578,angry
2.34279,4.58833,2.87967,1.76986,1.62136,1.81287,1.69821,1.74747,angry
2.13755,7.8499,3.55221,1.80316,1.8003,2.97601,1.32017,1.55334,angry
2.13378,3.83309,3.826,1.79301,1.83998,2.4847,1.50072,1.55725,angry
2.35486,3.86078,3.39939,1.90118,2.13634,1.94797,1.66764,1.74361,angry
2.60483,2.62641,2.95411,1.74105,1.82995,3.44023,1.31879,1.96727,angry
2.19444,4.81721,4.468,1.93405,1.62277,1.89751,1.66632,1.62663,angry
2.75045,2.49727,2.81191,1.78458,1.38487,2.45575,1.46238,2.13705,angry
2.14406,8.13812,2.62245,1.6784,1.7485,2.29179,1.49254,1.61745,angry
2.57982,3.00169,2.87067,1.82421,1.41839,2.08042,1.54295,1.97318,angry
2.22959,6.53359,3.23117,1.86515,2.10791,2.72285,1.35601,1.65951,angry
2.13538,2.08517,3.52035,1.5769,1.85734,2.93589,1.45842,1.64951,angry
2.20632,6.54536,3.09307,1.59325,1.64474,2.27971,1.54493,1.66106,angry
2.26444,1.83359,4.65769,1.75145,1.46095,1.89557,1.78029,1.71098,angry
2.25879,2.65929,4.0079,1.6327,1.43747,1.36454,2.21063,1.7206,angry
2.53408,2.45798,2.74298,1.82454,1.35885,1.97457,1.64561,1.92076,angry
2.13919,5.53927,3.78088,2.01805,1.70576,1.73436,1.82137,1.56302,angry
2.43346,3.38541,3.56802,1.97185,1.79429,1.75963,1.81036,1.82626,angry
2.094,2.94086,4.22108,1.54327,1.5283,2.30251,1.54817,1.61946,angry
2.47525,5.62107,3.00772,1.85506,1.98631,2.36838,1.49351,1.84586,angry
2.31161,2.2888,3.35337,1.70347,1.76322,1.92194,1.72436,1.80711,angry
2.61524,1.3372,4.08794,1.79282,1.41193,2.01628,1.73382,1.93663,angry
2.46156,5.15825,2.97694,1.76207,1.82141,3.29483,1.32139,1.85078,angry
2.04559,2.28309,4.06474,1.57567,1.91532,4.49886,1.26744,1.58584,angry
2.17587,1.78307,5.2521,1.72443,1.66972,1.46533,2.21869,1.62619,angry
2.39561,3.71957,4.03613,1.64175,1.61222,2.29403,1.62058,1.80808,angry
2.07144,2.26322,4.70201,1.47399,1.50745,2.93311,1.47887,1.6217,angry
2.35017,1.25551,2.74336,1.62472,1.6087,2.33685,1.6466,1.80097,angry
1.93587,3.22643,3.40461,1.64047,1.90881,3.386,1.36639,1.46708,angry
2.39412,3.9713,4.1151,1.7009,2.30296,2.8893,1.42723,1.87634,angry
2.27002,2.39163,3.74927,2.14837,2.51215,1.74107,1.68765,1.61193,angry
2.12126,2.90309,4.51589,1.88548,1.84436,1.51984,1.90679,1.56736,angry
2.19954,6.83238,2.82899,1.48453,1.6623,4.50129,1.18464,1.76428,angry
2.01341,4.76776,4.79782,1.66509,1.924,2.34853,1.56241,1.55048,angry
2.25047,3.51992,3.07002,1.92129,2.29917,1.8486,1.69026,1.70825,angry
2.53465,4.21537,2.94755,1.64396,1.8118,2.31855,1.52278,1.93796,angry
2.24711,2.52938,2.9101,1.91231,1.61551,1.67752,1.81619,1.64548,angry
2.51334,3.17102,3.38984,1.63152,1.53511,2.21804,1.64958,1.91613,angry
2.26369,3.84701,3.67269,1.67298,1.63717,2.15685,1.52587,1.72469,angry
2.78013,1.4781,3.33614,1.62768,2.01986,2.62155,1.55244,2.1825,angry
2.15079,5.41411,3.76229,1.54101,1.89828,3.39656,1.29887,1.69813,angry
2.43599,2.86929,3.87195,1.61643,1.64454,2.15078,1.57066,1.86204,angry
2.30671,5.15627,3.31385,1.89414,1.83386,2.0409,1.57809,1.69879,angry
2.39638,4.02562,4.06286,2.108,1.70624,1.67912,1.77289,1.73342,angry
2.19872,2.18418,2.80645,1.80003,1.64754,1.86219,1.63329,1.64241,angry
2.26108,4.1095,2.93169,1.69515,1.83965,3.2926,1.33155,1.74245,angry
1.97138,3.10901,5.76378,1.65095,1.87999,2.56442,1.46175,1.52255,angry
2.10924,2.42844,3.51116,1.69601,2.07304,2.72133,1.49241,1.66139,angry
2.89596,2.09177,3.52832,1.7116,1.61795,1.76064,1.86213,2.19341,angry
2.00055,2.08272,3.59749,1.60665,1.54836,2.43096,1.63406,1.53565,angry
2.53722,1.36095,3.51687,1.843,1.0197,1.81245,1.69651,1.91476,angry
2.66317,3.07493,2.72894,1.70147,1.24691,2.56616,1.40804,1.99853,angry
2.61017,2.02954,3.09474,2.0232,1.27298,1.81174,1.73462,1.897,angry
2.62106,2.85367,3.22138,2.01426,1.51397,2.02285,1.54729,2.00438,angry
2.37779,7.41178,4.00712,1.74742,1.90613,2.74934,1.40768,1.79836,angry
2.41992,3.26851,4.1071,1.77519,1.63254,1.7398,1.83951,1.77053,angry
2.34118,2.99625,3.49347,2.02204,1.22784,1.78521,1.68177,1.70377,angry
1.97555,2.82928,3.17479,1.41923,1.54836,2.43118,1.54039,1.54183,angry
2.5111,1.85611,3.90936,2.07097,1.09378,1.86723,1.595,1.81725,angry
2.12727,3.41865,5.3829,1.66515,1.67415,1.84531,1.72145,1.65474,angry
2.25876,3.0244,4.25504,1.76571,1.57586,1.60117,1.94664,1.70825,angry
2.42749,3.265,3.96972,1.77291,1.42452,2.09222,1.56728,1.8781,angry
2.20276,3.59712,4.09622,1.736,1.48115,1.67065,1.75882,1.6693,angry
2.07401,2.37449,2.95392,1.72779,1.72379,2.91327,1.4367,1.56606,angry
2.5449,1.87143,4.09945,1.58288,1.42815,2.3869,1.5724,1.89925,angry
1.91812,2.38254,12.51474,1.70459,1.86421,2.30515,1.6517,1.4587,angry
2.16718,6.35576,3.87189,1.55615,2.09676,3.35362,1.30577,1.73347,angry
2.3824,4.23743,4.44717,1.61105,1.81406,2.18796,1.5657,1.78922,angry
2.30202,3.79205,3.20128,1.63377,2.01491,1.98652,1.63041,1.7682,angry
2.28647,5.4683,3.58131,1.62739,2.00151,3.54542,1.27677,1.75956,angry
2.33429,3.24016,4.623,1.91503,1.94009,1.87898,1.69025,1.75008,angry
2.52578,4.31083,2.91501,1.56901,1.67165,2.44647,1.49894,1.90005,angry
2.2089,1.91327,3.11279,1.62175,1.4713,2.42385,1.52633,1.68942,angry
2.60615,3.73579,2.8627,1.37342,1.68118,4.78462,1.23158,2.15708,angry
2.59276,3.70863,3.17044,1.70165,1.79836,3.01507,1.32188,2.03889,angry
2.21202,4.3478,3.22456,1.72538,1.81041,2.63228,1.45475,1.71208,angry
1.8859,2.53845,6.82291,1.85149,1.69986,2.01777,1.66825,1.41762,angry
2.02803,1.88898,5.4883,1.78554,1.99129,3.51635,1.43036,1.53274,angry
2.34537,4.32225,3.61897,1.93948,1.45009,2.08232,1.52275,1.71827,angry
2.33623,3.83405,3.37668,1.81712,1.81583,2.23744,1.51549,1.72176,angry
2.36956,3.04234,4.0069,1.75063,2.69624,2.99499,1.35507,1.78805,angry
2.20668,1.62381,3.28588,1.77722,1.76061,2.76332,1.5044,1.70397,angry
2.56544,3.56212,3.06999,1.66212,1.85021,2.40471,1.51043,1.96186,angry
2.15991,2.26074,3.17111,1.74662,1.89648,3.33704,1.36919,1.59088,angry
2.14429,6.88425,3.20971,1.7312,2.17838,3.42502,1.27767,1.62468,angry
2.28038,2.46592,6.73266,1.90123,1.63557,1.73717,1.81847,1.66359,angry
2.44654,3.61735,3.90449,1.90427,1.78126,1.89438,1.66547,1.82813,angry
2.37914,4.9966,3.78603,1.74337,2.18871,3.01701,1.37659,1.82552,angry
2.75057,2.52092,2.85295,1.57813,1.45137,1.99784,1.69831,2.08947,angry
2.02348,3.42534,4.03856,1.55594,1.86733,4.44343,1.22916,1.57586,angry
2.33279,4.44576,4.15283,1.6741,1.5702,2.13895,1.62959,1.76265,angry
2.53336,4.32441,3.67531,1.72867,2.43923,2.66068,1.46787,1.93643,angry
2.37362,5.01523,3.92696,1.72973,2.1445,2.94811,1.38699,1.8267,angry
2.46835,2.89637,4.09805,1.63254,1.85822,2.20555,1.54108,1.95201,angry
2.17094,2.22499,3.28459,1.46547,1.888,2.6645,1.44806,1.76056,angry
1.72511,1.9711,7.78605,1.79799,1.70522,1.73728,1.93056,1.30919,angry
2.2383,3.65638,3.18259,1.81092,1.76153,1.90057,1.67675,1.68466,angry
2.1066,5.67434,3.35801,1.54525,1.61551,2.41255,1.53257,1.56004,angry
2.35139,6.19865,3.2539,1.6906,2.43259,3.50115,1.25164,1.82505,angry
2.409,2.21106,3.27852,1.69783,1.68354,2.39455,1.546,1.76406,angry
2.42243,3.34472,3.20571,2.13216,1.20507,1.93899,1.51127,1.75013,angry
2.20467,2.90583,3.46376,1.98652,2.94275,1.99356,1.53635,1.60183,angry
2.50174,4.27131,4.15118,1.74269,1.98139,2.70396,1.38375,1.92245,angry
2.37748,3.63472,2.93001,1.62197,1.44077,2.43672,1.43863,1.80479,angry
2.10852,3.15422,3.63409,1.75289,1.58863,1.90333,1.7396,1.56713,angry
2.21162,1.40185,2.92319,1.88666,1.79385,1.89662,1.72414,1.63425,angry
2.13132,4.6689,3.37525,1.60224,2.07505,3.30024,1.31726,1.67995,angry
2.13037,2.72615,3.7771,1.73984,1.90297,2.2796,1.60117,1.64127,angry
2.28735,3.78457,2.76504,1.61218,1.69236,2.49075,1.46883,1.78754,angry
2.00914,2.95842,6.20664,1.61722,1.5794,2.18718,1.57689,1.57127,angry
2.4384,3.20103,3.70994,1.92987,1.77565,1.78181,1.81204,1.8314,angry
2.47951,3.4709,3.41999,1.54399,1.68345,2.1374,1.57813,1.98794,angry
2.41351,5.07535,5.02739,1.86786,1.98186,1.78652,1.69107,1.80943,angry
2.32434,3.38116,3.83756,1.72161,1.97656,2.40582,1.49529,1.79004,angry
2.07178,1.90017,4.84688,1.9933,2.04043,1.797,1.80885,1.51289,angry
1.82264,3.27592,4.21929,1.73041,1.85977,2.80958,1.45113,1.37083,angry
2.24741,2.56051,3.31076,1.67386,1.56047,2.6943,1.503,1.68779,angry
2.38669,3.76023,3.16658,1.71537,1.54163,1.95474,1.6894,1.81417,angry
2.05149,3.03859,2.86625,1.58353,2.16431,2.59018,1.40363,1.57261,angry
2.33259,5.19231,3.26917,1.78162,1.84713,2.24289,1.54167,1.73368,angry
2.53407,1.93279,3.33171,1.65769,1.7753,3.02068,1.45761,1.92346,angry
2.31874,1.69113,3.97288,1.81079,1.80338,1.95833,1.80729,1.74501,angry
2.55431,3.38669,3.2781,1.5571,1.50555,2.27584,1.52698,1.98008,angry
2.37638,5.4563,3.26515,1.57838,1.76524,2.91082,1.44055,1.79136,angry
2.1017,2.67569,3.12447,1.79283,1.99891,2.95197,1.38009,1.60468,angry
2.22703,5.1382,4.88323,1.58668,1.95667,2.4957,1.46574,1.73225,angry
2.3144,2.4988,4.68613,1.95469,2.34627,1.91014,1.68763,1.71063,angry
2.60534,2.27877,3.04441,1.72794,1.70813,2.04291,1.64511,1.95005,angry
2.18216,8.07503,3.8626,1.78653,2.00962,2.90539,1.36913,1.62223,angry
2.4862,7.45133,4.58978,1.94433,2.19488,2.93799,1.37954,1.8054,angry
2.5007,6.19301,2.74452,1.72411,1.92594,3.25842,1.3119,1.87771,angry
2.41644,3.505,3.84255,1.80402,2.20901,2.48796,1.49613,1.82827,angry
2.07948,4.78907,5.97202,1.77377,1.6566,2.26812,1.50297,1.58825,angry
2.48964,4.80862,3.54993,1.89417,1.97742,2.84507,1.36002,1.90615,angry
2.12585,1.41161,7.95511,1.82657,1.82905,1.59873,2.12904,1.61109,angry
2.3399,1.85847,6.53363,2.11821,1.19584,1.93307,1.6317,1.68775,angry
2.23317,4.46965,3.46518,1.78192,1.80636,2.22407,1.53098,1.69661,angry
2.36498,2.99504,3.76365,1.83671,1.47096,1.43659,1.98991,1.75962,angry
2.53493,3.31723,3.03485,1.70388,1.76456,2.65441,1.45164,1.95526,angry
2.1395,1.75223,6.33981,1.83106,1.76529,2.22593,1.7232,1.62398,angry
2.37558,1.67043,4.92248,1.80628,1.88945,1.91503,1.80541,1.78027,angry
2.25932,3.39892,3.37306,1.54352,1.62742,2.88299,1.41078,1.74108,angry
2.23885,1.9267,3.6143,1.8119,1.50811,2.02251,1.61897,1.68853,angry
2.43785,4.34551,2.69732,1.88432,1.82413,2.62721,1.40696,1.7889,angry
2.28885,2.7977,3.04478,1.6647,1.78958,4.36341,1.13549,1.79288,angry
2.36588,2.38633,3.52832,1.77704,2.32684,1.972,1.63114,1.78458,angry
2.14136,3.71296,3.47734,1.73088,2.19277,2.24112,1.47025,1.65407,angry
2.37368,3.26461,2.75536,1.47056,1.41795,2.12344,1.60427,1.84083,angry
1.99987,2.19482,5.47627,1.57151,1.88833,2.51359,1.55002,1.54513,angry
2.4454,4.16352,3.23197,1.72624,1.7996,2.79004,1.40981,1.89525,angry
2.10048,2.05442,2.99556,1.98815,1.95564,1.94025,1.59395,1.45516,angry
2.4336,2.03461,3.83836,1.77581,1.52857,1.49905,2.04746,1.82754,angry
2.48762,2.54337,2.78041,1.73498,1.26814,1.88379,1.68949,1.91469,angry
2.5009,4.22728,3.64458,1.86935,1.72756,2.3823,1.57683,1.84008,angry
2.21519,4.79392,3.22022,1.82964,2.31189,2.73772,1.39256,1.63105,angry
2.05698,1.65873,4.9838,1.70049,1.50321,2.62569,1.60461,1.52758,angry
2.01077,5.1825,4.09214,1.96812,1.96688,1.96954,1.61405,1.47933,angry
2.31329,1.97857,3.66877,1.9197,1.4046,2.15592,1.48963,1.76537,angry
1.88552,2.81179,3.31904,1.68356,1.80746,3.28642,1.31299,1.42799,angry
2.11892,1.52251,4.30029,1.82109,1.65251,2.3659,1.5609,1.58552,angry
2.33369,2.27034,4.03962,1.65166,1.68922,2.51676,1.56302,1.80278,angry
2.00971,1.88918,5.35551,1.60548,1.62039,1.45203,2.04999,1.55257,angry
2.43868,3.98661,3.42725,1.84265,1.85184,2.42006,1.50537,1.78093,angry
